"Project","Transect","Point","Protocol","Visit","Date","Start Time","End Time","Observ Time","Count","Spp","CommonName","ScientificName","Detection Cue","Distance Bin ID","Distance Bin","Time Bin","Breeding Status","Singing","Researcher","Data Status"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,BHGR,"Black-headed Grosbeak","Pheucticus melanocephalus",S,105,105,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,XXWO,"Unid. Woodpecker","Picidae sp.",D,215,215,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,OSFL,"Olive-sided Flycatcher","Contopus cooperi",S,130,130,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,NAWA,"Nashville Warbler","Oreothlypis ruficapilla",S,267,267,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,NAWA,"Nashville Warbler","Oreothlypis ruficapilla",S,073,73,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,ROWR,"Rock Wren","Salpinctes obsoletus",S,B30,>300,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,2,RECR,"Red Crossbill","Loxia curvirostra",C,FLO,FlyOver,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,LAZB,"Lazuli Bunting","Passerina amoena",S,160,160,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,LAZB,"Lazuli Bunting","Passerina amoena",S,198,198,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,HAWO,"Hairy Woodpecker","Picoides villosus",C,209,209,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,WEWP,"Western Wood-Pewee","Contopus sordidulus",C,266,266,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,MOUQ,"Mountain Quail","Oreortyx pictus",C,250,250,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,MOUQ,"Mountain Quail","Oreortyx pictus",C,170,170,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,TOSO,"Townsend's Solitaire","Myadestes townsendi",S,200,200,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,MOCH,"Mountain Chickadee","Poecile gambeli",C,102,102,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,WEBL,"Western Bluebird","Sialia mexicana",V,052,52,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,HOWR,"House Wren","Troglodytes aedon",S,104,104,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,DEJU,"Dark-eyed Junco","Junco hyemalis",C,036,36,5,,0,"Moker, Jeff","AVAILABLE Level 3"
PLAS,213,213_1,VCP300,1,2014-06-01,08:11:00,08:16:00,08:11:00,1,WETA,"Western Tanager","Piranga ludoviciana",S,119,119,5,,0,"Moker, Jeff","AVAILABLE Level 3"
