"","SurveyID","ProjectID","LocationName","Date","Collectors","Longitude","Latitude","SurveyTypeID","Plot.Name","SpeciesVarietalCode","SpeciesVarietalName","Measurement","CanopyID","Woody_DBH_cm","Woody_Height_m","ProjCode","Genus"
"1",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","ACNE","Acer negundo",1,"",6.5,2.57,"HEROW","Acer"
"2",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","POFR","Populus fremontii",2,"",9.3,5.08,"HEROW","Populus"
"3",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","POFR","Populus fremontii",3,"",6.5,3.74,"HEROW","Populus"
"4",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","POFR","Populus fremontii",4,"",7.6,2.68,"HEROW","Populus"
"5",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","POFR","Populus fremontii",5,"",6.3,3.03,"HEROW","Populus"
"6",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","POFR","Populus fremontii",6,"",9.9,4.53,"HEROW","Populus"
"7",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","FRLA","Fraxinus latifolia",9,"",7,4.4,"HEROW","Fraxinus"
"9",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","QULO","Quercus lobata",21,"",18.9,8.1,"HEROW","Quercus"
"10",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",1,"",6.5,4.61,"HEROW","Salix"
"11",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",2,"",24,8,"HEROW","Salix"
"12",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",3,"",9,8,"HEROW","Salix"
"13",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",4,"",6.5,8,"HEROW","Salix"
"14",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",5,"",5.3,8,"HEROW","Salix"
"15",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",6,"",5.9,3.5,"HEROW","Salix"
"16",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",7,"",11,4,"HEROW","Salix"
"17",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",8,"",20,5.5,"HEROW","Salix"
"18",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",9,"",5.9,2.3,"HEROW","Salix"
"19",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",10,"",28.3,5,"HEROW","Salix"
"20",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",11,"",5.7,2.76,"HEROW","Salix"
"21",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",12,"",6,2.76,"HEROW","Salix"
"22",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",13,"",10.2,1.8,"HEROW","Salix"
"23",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",14,"",9,1.8,"HEROW","Salix"
"24",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",15,"",10.9,1.8,"HEROW","Salix"
"25",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",16,"",7.2,1.8,"HEROW","Salix"
"26",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",17,"",6.7,1.8,"HEROW","Salix"
"27",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",18,"",8.5,3.78,"HEROW","Salix"
